vertex_id,x,y
0h00PgHBQtSS3SkLA7Q841,-0.40948739647865295,0.5543557405471802
0YRQRduXgsJzxFlqoR4Jqk,-0.44761204719543457,0.494770884513855
3yc8w7fqSRpbrvdrpkVrq2,-0.4115529954433441,0.44733136892318726
4MyfCSvggKffu9jZUpDHfD,-0.4354031980037689,0.47851696610450745
2PUBfBWV7FUM3tFqt28pO7,-0.4593992233276367,0.5094616413116455
6XEWUpEZAXHr0ne6cNQtgv,-0.522951602935791,0.46160197257995605
5jJPcImQkogKdwsVS36zH7,-0.47873952984809875,0.5317851305007935
2JUlUvPH2erBIezhIkPUrP,0.08481364697217941,-0.23796717822551727
 Art Rock,0.014772086404263973,-0.22920599579811096
4spKPzrQHxAZC59YpRxeNJ,0.1505812704563141,-0.2488054782152176
0xTDAeVrX4Kmmucaeo3VH3,0.2217554897069931,-0.314282089471817
1mAQwbVDwer2Q5fJZHqfF2,0.01749398745596409,-0.2464601695537567
0fIfpH5cm6WtnetOU0b1EO,0.005593824665993452,-0.2617316246032715
0Rumj64tAP1jhImDkzple6,0.050118427723646164,-0.23302045464515686
5Zb02HRs3lExMRbuN5CES9,0.11091688275337219,-0.24145473539829254
04o1B77uENKLVv5HmFIxtK,0.11477220058441162,-0.2411470115184784
1yW6y8RufwB4WEAQeip0tx,0.02678658813238144,-0.23107820749282837
3IeVrRu0jOlwOkTwD9AykT,0.12024401128292084,-0.2428225874900818
13GgSNZhnaeOux6Jtgch4s,0.021501250565052032,-0.25561273097991943
67oyFnjJnn78fZP9KjeZx0,0.13896964490413666,-0.2460179626941681
51aFFAg11GhQkgEWPnlwsS,0.025226885452866554,-0.2313830554485321
64DkUADFBHKvEjEbh0cXcl,0.03238501772284508,-0.25116556882858276
5UFBEYaigXPoScwPOK4Wft,0.047663573175668716,-0.2262554168701172
7bPuuCHtxru8AqEfN10PoN,0.08019132167100906,-0.23736248910427094
5cVohoOf4zIKtze7nir0L7,0.10181190073490143,-0.24020083248615265
0wJEfoSHbqeadkjhmTzFzP,0.15949133038520813,-0.2783730626106262
1nhenLglyr9NOX5vQ4iW2Q,0.1675952672958374,-0.3408459424972534
2EkcPq9mOsnx4oJDIkhCp9,0.0438876748085022,-0.2522105276584625
2j79PeJCQouZoGHi3XxoLK,0.15253502130508423,-0.24943703413009644
42xxNZR6BzeLuDBjyyqGFr,0.15250088274478912,-0.24945257604122162
6IYLjqSKQ4ma8FwlZd9LLI,0.04228461533784866,-0.2316266894340515
2hdNya0b6Cc2YJ8IyaQIWp,0.02304944209754467,-0.2298530787229538
0LcfPNErwpUQHoUI2TRS56,0.020897705107927322,-0.2224871814250946
0LsLA3RKMc0p2ge9eIza8Q,0.049289271235466,-0.22663506865501404
7CcaktZZsdb8AWPdhDM38f,0.05787358060479164,-0.2599988877773285
3DW1BXUHalgmS7QfcS1TnY,0.0594390369951725,-0.2344823032617569
7hdmHCriN4sKW87PqX1j7E,0.058073483407497406,-0.2283150553703308
6DLMrmMtB8PToSAcYiZZDJ,0.07196730375289917,-0.23626455664634705
0Z80GSrYzoXIf0mCpBlcml,0.044146668165922165,-0.2320149838924408
6zajKxvei3b3xmXNRLGJbR,0.11650226265192032,-0.24226106703281403
7biv5RIAffkj7rYnvKc4NC,-0.18208974599838257,-0.594835638999939
72cj11O7lJBQiLu3dXzKLV,-0.1790793091058731,-0.4976251423358917
2kkS9QKmGDlB9hb924Rz6t,-0.16408449411392212,-0.5166065096855164
5db1SLjPimPV4jc5SkAZ2b,-0.18414250016212463,-0.6564607620239258
2YmHA1zfrkam6TaO5mkQgZ,-0.14003247022628784,-0.6176002025604248
0jlQn5ENU6pt3yDRlMDgjB,-0.1767788976430893,-0.7273756265640259
2f1sFLNAFkimScFnAZaEaI,-0.1806192547082901,-0.720750629901886
1nwYsdWElwCywLZiY3J1g9,-0.19194483757019043,-0.7314419746398926
7gGiPzciQGoxl8NfE5alBj,-0.16358089447021484,-0.5092039704322815
1aa3A3F6b5FZFtXAhtrybK,-0.1711401790380478,-0.6231822967529297
3qdcjaWIyUvivaO5lcpe0J,-0.18089282512664795,-0.5969097018241882
5DJhKbXvR8wcX2cZKmoMg0,-0.17616575956344604,-0.6441968679428101
2CVoj73sTbBrfBoQTEk7yO,-0.20697073638439178,-0.41922661662101746
65AHFH7pRxxMrFDsFVH5Hv,-0.20001520216464996,-0.6059519052505493
4BOCx4hnSq0xWO3lcEbibQ,-0.16503912210464478,-0.5344709753990173
0f2quK7KHrF2hUkJQhj2eV,-0.18004640936851501,-0.7113687992095947
5AciiCKJKTLKRrAPSrKQy5,-0.16756053268909454,-0.7163577079772949
3xjsbk8OtU1uR3FuOPS2NT,-0.18403927981853485,-0.7346887588500977
09g7JMQLhGPspMm1hfeqCc,-0.18228869140148163,-0.7260133028030396
07MRGolhqppoqEWDV5aZhJ,-0.18154528737068176,-0.5957653522491455
75D9esOK7ASfcREQAvbtql,-0.1769782304763794,-0.6583030819892883
0PSoQovKUDaVl7TBVGAmt4,-0.20374275743961334,-0.7174109816551208
2HFa8YQM9xXsaqquv8efKI,-0.18009762465953827,-0.7073131799697876
2BNIB51vC5Xf4s14N57VTH,-0.17788949608802795,-0.6010758280754089
1h7XRTgZYY0TYDjYDnLfju,-0.17676259577274323,-0.6071333289146423
2reANGLp6a9iZvh1Q6qIS7,-0.1667528748512268,-0.5856132507324219
5GowdwInXfSd4aTIM52Gmo,-0.18239247798919678,-0.588232696056366
0ek2PwrDkUWRqoaTq6WKDj,-0.15835100412368774,-0.5865999460220337
531T2IlqucxLsyDPtw6LSv,-0.17854061722755432,-0.683541476726532
2mGpfyZuvwQT7qimhly4S1,-0.17645487189292908,-0.6495002508163452
5R9ukMX7BDIy1WJYsAhBD6,-0.20641592144966125,-0.7045308351516724
77USyndX2lw1Sy82Rt2JIq,-0.20383599400520325,-0.6079919934272766
57nmWRdN5zPzMAlkCLsuKA,-0.17880037426948547,-0.6173540353775024
2xrzeCo6r8L31gYS0GmmEK,-0.17731183767318726,-0.6058619618415833
6rKP1ZxtPlvnPTlwTr7LRC,-0.18562661111354828,-0.6054583191871643
4BpRummkIMqhFOAmmpKoSR,-0.1761513650417328,-0.6123607158660889
49WYvbLAlLn9e663fBmCUl,-0.1956501454114914,-0.705923855304718
1JhaLgkRU4M7GXfjMmsDAl,-0.1728113442659378,-0.6273672580718994
0C8IIabjKg5BdCVP3fRZ03,-0.17579396069049835,-0.6361238360404968
59Y2voKQ0Ie6ptgS5VrnEn,-0.18092773854732513,-0.724031925201416
35i1Xb0oSslrXF1KT51IdK,-0.17668451368808746,-0.6534441709518433
17tRQ9xLcfif3rNFJEwca3,-0.1856822371482849,-0.7307093143463135
15GJW2ovskjK0dKwr6hgAf,-0.17558524012565613,-0.6211500763893127
1nPTaQHgrjKhSGb5ILEV47,-0.16520296037197113,-0.5423792004585266
0Cks68XMF8C89s1zTfFtR2,-0.1900685876607895,-0.727008581161499
1UFmSqbxVtP5pl9r8KdeY1,-0.17839404940605164,-0.6811073422431946
0paObwS131dDajVtwORiYq,-0.1781214326620102,-0.676653265953064
72kIC2q0kaOleQ3uCWU6eN,-0.15827004611492157,-0.4415416717529297
0hf4OAdQiOvMlMcRsYoHqK,-0.18378853797912598,-0.7290287017822266
54OvzzXMJb8edbYpIzMeBM,-0.19018715620040894,-0.6017071604728699
6CpwIyYfaoAT7RlsrIhPLH,-0.19123846292495728,-0.6057690978050232
041EqVueOI4pszWGJfKerh,-0.17558465898036957,-0.6290627717971802
6yuUNwzKsytnqKjFU3oNrS,-0.18112994730472565,-0.5964876413345337
12EZU8vWXz5ApBODuXQ4g4,-0.17646676301956177,-0.6497074365615845
06rxdrloI554XAu02s1RaM,-0.17805889248847961,-0.6756420135498047
